File,Widget,Line,Severity,Rebuilds/Min,Build Time (ms),Reason,Dependencies,Pattern Preview
"lib/ui/screens/Home/home_screen.dart","Unknown",209,"HIGH",250,10.0,"Large widget (51 lines) wrapped in Obx - rebuilds entirely","",": Obx(() {"
"lib/ui/player/components/mini_player_content.dart","Unknown",50,"MEDIUM",500,5.0,"Standard Obx usage","","? GetX<PlayerController>("
"lib/ui/player/components/mini_player_content.dart","Unknown",70,"MEDIUM",500,5.0,"Standard Obx usage","",": GetX<PlayerController>(builder: (controller) {"
"lib/ui/player/components/mini_player_content.dart","Unknown",213,"MEDIUM",500,5.0,"Standard Obx usage","",": GetX<PlayerController>(builder: (controller) {"
"lib/ui/player/components/standard_player.dart","Unknown",190,"MEDIUM",500,5.0,"Standard Obx usage","","child: Obx("
"lib/ui/player/components/mini_player_content.dart","Unknown",286,"MEDIUM",500,5.0,"Standard Obx usage","","icon: Obx(() => Icon("
"lib/ui/player/components/mini_player_content.dart","Unknown",344,"MEDIUM",500,5.0,"Standard Obx usage","","child: Obx(() {"
"lib/ui/player/components/mini_player_content.dart","Unknown",193,"MEDIUM",500,5.0,"Standard Obx usage","","? GetX<PlayerController>("
"lib/ui/player/components/gesture_player.dart","Unknown",106,"MEDIUM",500,5.0,"Standard Obx usage","","Obx(() {"
"lib/ui/player/components/gesture_player.dart","Unknown",131,"MEDIUM",500,5.0,"Standard Obx usage","","GetX<PlayerController>(builder: (controller) {"
"lib/ui/player/components/gesture_player.dart","Unknown",169,"MEDIUM",500,5.0,"Standard Obx usage","","icon: Obx(() => Icon("
"lib/ui/player/components/gesture_player.dart","Unknown",183,"MEDIUM",500,5.0,"Standard Obx usage","","Obx(() {"
"lib/ui/player/components/gesture_player.dart","Unknown",213,"MEDIUM",500,5.0,"Standard Obx usage","","icon: Obx("
"lib/ui/player/components/gesture_player.dart","Unknown",240,"MEDIUM",500,5.0,"Standard Obx usage","","GetX<PlayerController>(builder: (controller) {"
"lib/ui/player/components/mini_player_content.dart","Unknown",273,"MEDIUM",500,5.0,"Standard Obx usage","","icon: Obx(() => Icon("
"lib/ui/player/components/mini_player.dart","Unknown",52,"MEDIUM",500,5.0,"Standard Obx usage","","? GetX<PlayerController>("
"lib/ui/player/components/mini_player.dart","Unknown",66,"MEDIUM",500,5.0,"Standard Obx usage","",": GetX<PlayerController>(builder: (controller) {"
"lib/ui/player/components/mini_player.dart","Unknown",201,"MEDIUM",500,5.0,"Standard Obx usage","","icon: Obx(() => Icon("
"lib/ui/player/components/mini_player.dart","Unknown",219,"MEDIUM",500,5.0,"Standard Obx usage","","icon: Obx(() => Icon("
"lib/ui/player/components/mini_player.dart","Unknown",282,"MEDIUM",500,5.0,"Standard Obx usage","","child: Obx(() {"
"lib/ui/player/components/mini_player.dart","Unknown",387,"MEDIUM",500,5.0,"Standard Obx usage","","child: Obx(() {"
"lib/ui/player/components/standard_player.dart","Unknown",129,"MEDIUM",500,5.0,"Standard Obx usage","","Obx("
"lib/ui/player/components/player_control.dart","Unknown",95,"MEDIUM",500,5.0,"Standard Obx usage","","GetX<PlayerController>(builder: (controller) {"
"lib/ui/widgets/sort_widget.dart","Unknown",177,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","Obx("
"lib/ui/screens/Search/search_result_screen.dart","Body",121,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","return Obx(() {"
"lib/ui/screens/Search/search_screen.dart","Unknown",42,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","body: Obx("
"lib/ui/screens/Artists/artist_screen_v2.dart","Unknown",44,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","title: Obx("
"lib/ui/screens/Artists/artist_screen.dart","ArtistScreen",28,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","floatingActionButton: Obx("
"lib/ui/screens/Artists/artist_screen.dart","Body",156,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","return Obx(() => artistScreenController.isArtistContentFetced.isTrue"
"lib/ui/screens/Artists/artist_screen.dart","Unknown",167,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","return Obx(() {"
"lib/ui/screens/Album/album_screen.dart","Unknown",51,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","Obx("
"lib/ui/screens/Album/album_screen.dart","Unknown",226,"HIGH",400,6.0,"Obx in ListView without id/tag - causes excessive rebuilds","","Obx(() => IconButton("
"lib/ui/widgets/export_file_dialog.dart","Unknown",35,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx(() => exportFileDialogController.exportProgress"
"lib/ui/widgets/backup_dialog.dart","Unknown",46,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","Obx(() => (backupDialogController.scanning.isTrue ||"
"lib/ui/widgets/restore_dialog.dart","Unknown",40,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx(() => restoreDialogController.restoreProgress"
"lib/ui/widgets/link_piped.dart","Unknown",33,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx(() => DropdownButton("
"lib/ui/widgets/side_nav_bar.dart","SideNavBar",20,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx("
"lib/ui/widgets/create_playlist_dialog.dart","Unknown",56,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","Obx("
"lib/ui/widgets/song_download_btn.dart","Unknown",45,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","? Obx(() => Stack("
"lib/ui/widgets/up_next_queue.dart","Unknown",51,"HIGH",400,6.0,"Obx in ListView without id/tag - causes excessive rebuilds","","child: Obx("
"lib/ui/widgets/sort_widget.dart","Unknown",154,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx("
"lib/ui/widgets/sleep_timer_bottom_sheet.dart","SleepTimerBottomSheet",15,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx("
"lib/ui/widgets/sleep_timer_bottom_sheet.dart","Unknown",34,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx(() {"
"lib/ui/widgets/search_related_widgets.dart","ResultWidget",21,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","return Obx("
"lib/ui/player/components/albumart_lyrics.dart","AlbumArtNLyrics",19,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","return Obx(() => playerController.currentSong.value != null"
"lib/ui/screens/Home/home_screen.dart","Unknown",43,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","return Obx(() {"
"lib/ui/screens/Home/home_screen.dart","Unknown",152,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",49,"HIGH",400,6.0,"Obx in ListView without id/tag - causes excessive rebuilds","","Obx(() {"
"lib/ui/screens/Playlist/playlist_screen.dart","Unknown",55,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","Obx("
"lib/ui/player/components/lyrics_switch.dart","LyricsSwitch",14,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","return Obx("
"lib/ui/player/components/lyrics_widget.dart","LyricsWidget",15,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","return Obx("
"lib/ui/player/components/lyrics_widget.dart","LyricsWidget",25,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx("
"lib/ui/screens/Playlist/playlist_screen.dart","Unknown",264,"HIGH",400,6.0,"Obx in ListView without id/tag - causes excessive rebuilds","","Obx(() => (playlistController.playlist"
"lib/ui/screens/Library/library.dart","Unknown",41,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","builder: (libSongsController) => Obx(() => SortWidget("
"lib/ui/screens/Library/library.dart","Unknown",265,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","Obx("
"lib/ui/screens/Search/search_result_screen.dart","SearchResultScreen",30,"HIGH",300,8.0,"Obx nested inside build method without id/tag","","child: Obx("
"lib/ui/widgets/link_piped.dart","Unknown",66,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => ModifiedTextField("
"lib/ui/screens/Search/search_result_screen_v2.dart","Unknown",66,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/widgets/link_piped.dart","Unknown",49,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => pipedLinkedController.selectedInst.value == ""custom"""
"lib/ui/home.dart","Unknown",116,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => Text("
"lib/ui/widgets/link_piped.dart","Unknown",88,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx(() => Center("
"lib/ui/widgets/new_version_dialog.dart","Unknown",49,"MEDIUM",100,2.0,"Standard Obx usage","","GetX<HomeScreenController>(builder: (controller) {"
"lib/ui/screens/Settings/settings_screen.dart","Unknown",447,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Artists/artist_screen.dart","Unknown",252,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Artists/artist_screen_v2.dart","Unknown",53,"MEDIUM",100,2.0,"Standard Obx usage","","body: Obx("
"lib/ui/widgets/create_playlist_dialog.dart","Unknown",174,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() =>"
"lib/ui/widgets/bottom_nav_bar_content.dart","Unknown",42,"MEDIUM",100,2.0,"Standard Obx usage","","return Obx(() => Container("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",460,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",393,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/widgets/songinfo_bottom_sheet.dart","Unknown",87,"MEDIUM",100,2.0,"Standard Obx usage","","icon: Obx(() => Icon("
"lib/ui/widgets/songinfo_bottom_sheet.dart","Unknown",218,"MEDIUM",100,2.0,"Standard Obx usage","","Obx("
"lib/ui/widgets/additional_operation_dialog.dart","Unknown",51,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",472,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Album/album_screen.dart","Unknown",143,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",172,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Album/album_screen.dart","Unknown",199,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/main.dart","Unknown",169,"MEDIUM",100,2.0,"Standard Obx usage","","GetX<ThemeController>("
"lib/ui/widgets/sort_widget.dart","Unknown",189,"MEDIUM",100,2.0,"Standard Obx usage","","? Obx("
"lib/ui/widgets/sort_widget.dart","Unknown",202,"MEDIUM",100,2.0,"Standard Obx usage","","? Obx(() => _customIconButton("
"lib/ui/widgets/sort_widget.dart","Unknown",213,"MEDIUM",100,2.0,"Standard Obx usage","","Obx("
"lib/ui/widgets/add_to_playlist.dart","Unknown",66,"MEDIUM",100,2.0,"Standard Obx usage","","Obx("
"lib/ui/widgets/add_to_playlist.dart","Unknown",108,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/widgets/add_to_playlist.dart","Unknown",148,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => (addToPlaylistController.additionInProgress.isTrue &&"
"lib/ui/screens/Search/search_result_screen_v2.dart","Unknown",55,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",420,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/widgets/separate_tab_item_widget.dart","Unknown",69,"MEDIUM",100,2.0,"Standard Obx usage","","? Obx(() => SortWidget("
"lib/ui/widgets/separate_tab_item_widget.dart","Unknown",100,"MEDIUM",100,2.0,"Standard Obx usage","","? GetX<SearchResultScreenController>(builder: (controller) {"
"lib/ui/widgets/separate_tab_item_widget.dart","Unknown",114,"MEDIUM",100,2.0,"Standard Obx usage","","? Obx(() =>"
"lib/ui/screens/Album/album_screen.dart","Unknown",431,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",511,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",520,"MEDIUM",100,2.0,"Standard Obx usage","","? Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",530,"MEDIUM",100,2.0,"Standard Obx usage","","subtitle: Obx(() => RichText("
"lib/ui/player/components/backgroud_image.dart","BackgroudImage",18,"MEDIUM",100,2.0,"Standard Obx usage","","return GetX<PlayerController>("
"lib/ui/screens/Search/components/desktop_search_bar.dart","Unknown",55,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => searchScreenController.isSearchBarInFocus.isTrue"
"lib/ui/screens/Settings/settings_screen.dart","Unknown",574,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",206,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",608,"MEDIUM",100,2.0,"Standard Obx usage","","subtitle: Obx(() => Text("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",639,"MEDIUM",100,2.0,"Standard Obx usage","","subtitle: Obx(() => Text("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",833,"MEDIUM",100,2.0,"Standard Obx usage","","return Obx(() => ListTile("
"lib/ui/screens/Artists/artist_screen.dart","Unknown",68,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/player/components/albumart_lyrics.dart","Unknown",57,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => playerController.showLyricsflag.isTrue"
"lib/ui/widgets/export_file_dialog.dart","Unknown",90,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/home.dart","Unknown",138,"MEDIUM",100,2.0,"Standard Obx usage","","return Obx(() {"
"lib/ui/screens/Settings/settings_screen.dart","Unknown",148,"MEDIUM",100,2.0,"Standard Obx usage","","subtitle: Obx("
"lib/ui/screens/Search/components/desktop_search_bar.dart","Unknown",72,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx(() {"
"lib/ui/widgets/backup_dialog.dart","Unknown",55,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => Text("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",251,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/widgets/backup_dialog.dart","Unknown",68,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => (backupDialogController"
"lib/ui/screens/Playlist/playlist_screen.dart","Unknown",62,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx(() {"
"lib/ui/widgets/backup_dialog.dart","Unknown",90,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => Padding("
"lib/ui/widgets/backup_dialog.dart","Unknown",131,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/widgets/backup_dialog.dart","Unknown",142,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/player/components/animated_play_button.dart","Unknown",42,"MEDIUM",100,2.0,"Standard Obx usage","","return GetX<PlayerController>(builder: (controller) {"
"lib/ui/screens/Playlist/playlist_screen.dart","Unknown",132,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Playlist/playlist_screen.dart","Unknown",236,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/widgets/song_list_tile.dart","Unknown",178,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() =>"
"lib/ui/screens/Settings/settings_screen.dart","Unknown",266,"MEDIUM",100,2.0,"Standard Obx usage","","subtitle: Obx(() => Text("
"lib/ui/screens/Playlist/playlist_screen.dart","Unknown",638,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Search/search_screen.dart","Unknown",112,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx(() {"
"lib/ui/screens/Library/library.dart","Unknown",151,"MEDIUM",100,2.0,"Standard Obx usage","","Obx("
"lib/ui/screens/Library/library.dart","Unknown",186,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/widgets/restore_dialog.dart","Unknown",89,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Library/library.dart","Unknown",280,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => cntrller.libraryArtists.isNotEmpty"
"lib/ui/screens/Settings/settings_screen.dart","Unknown",289,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",308,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/widgets/restore_dialog.dart","Unknown",100,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",322,"MEDIUM",100,2.0,"Standard Obx usage","","child: Obx(() => Text("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",434,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Search/components/desktop_search_bar.dart","Unknown",50,"MEDIUM",100,2.0,"Standard Obx usage","","icon: Obx(() => Icon("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",561,"MEDIUM",100,2.0,"Standard Obx usage","","trailing: Obx("
"lib/ui/screens/Settings/settings_screen.dart","Unknown",591,"MEDIUM",100,2.0,"Standard Obx usage","","Obx(() => settingsController.hideDloc.isFalse || isDesktop"
